KEY	VALUE
EY	0.03592080849450628
EX	0.03583341987031865
AY	0.035421282521763554
SPACEV	0.035226504571727754
EK	0.034982649813694144
GH	0.034608854996294146
GO	0.03436155622308976
LT	0.0337438077239136
GU	0.0324661137033617
IP	0.03225768638918028
BI	0.031178102816956627
LS	0.029992086566115655
OY	0.028273450169100028
BY	0.027465836465423964
EU	0.027141525111384884
MR	0.02708164527890804
CS	0.026980356861224554
NR	0.025755788484616293
CL	0.024437019093122292
MS	0.024011423869370024
SY	0.02334969238592374
QU	0.022456431483430933
IK	0.021391822518332857
SPACEJ	0.02135178286140854
BR	0.021009070591981163
DS	0.019983051736824107
AK	0.01848428373606957
IU	0.018014366580322447
FL	0.017986935373536232
CK	0.0179062112986805
FU	0.017398232131017304
NY	0.01688534816060046
EO	0.016885271922823485
PT	0.01672504717712202
KN	0.015656558739474375
KR	0.015156945385349724
HR	0.01511866358899702
LR	0.014634253706209405
HP	0.014431595934214624
BM	0.014188859863713772
TW	0.01350954951589903
FT	0.013268252597790596
KS	0.013214774302936834
MY	0.013045772265545307
NW	0.012882179376025892
IZ	0.011616913535708857
HU	0.011359065486747366
KO	0.010694740959714824
RV	0.010660016166496396
LN	0.010583195370982618
FN	0.010271155017385037
PX	0.010167236046137519
GL	0.01013814603184842
AO	0.009437337875690975
SPACEQ	0.009381939782346908
IX	0.009336764922709222
JO	0.00923272444413678
JU	0.008997645194169807
SW	0.0089055596859891
EQ	0.008701951749237723
DY	0.008697166400756058
EJ	0.008574577208537833
SPACEX	0.008424849054345132
CY	0.008390006989233836
EZ	0.008243631637542213
BS	0.008166578987149306
GS	0.008153279778996452
NV	0.007925237079699625
HY	0.007689660500558888
AX	0.007360042521968642
TX	0.007107542050845355
RW	0.006612207846408811
AJ	0.005715092673803738
AZ	0.005587260851933935
PY	0.005572869963863409
HN	0.00556734115156429
MN	0.005551823088931127
LV	0.005366228175276716
DG	0.005190699353255448
KL	0.004601405084752888
IY	0.004412537146678267
GY	0.004335242149820721
LW	0.004233060794210683
MT	0.004230904204892443
LM	0.004197718112885478
CX	0.0040250239211238594
BJ	0.0035401915620717245
FS	0.0034450868482444066
OX	0.003232406276551754
SPACEZ	0.003113478523738343
BT	0.002985382041251056
DV	0.002940295953251615
DM	0.002863775636315707
GT	0.0026394683725470616
HL	0.0021591685454808093
HM	0.0020172206752052274
DW	0.0017778029148383036
IQ	0.0017657468868222121
JN	0.0017068353517086603
GM	0.0016839538934546557
OZ	0.001618654459240326
FY	0.0014968515054701466
UX	0.0013227692235987364
DH	0.001260330656690712
KU	0.0011592676114121024
QS	0.0011550055435555634
NP	0.0010977781477083646
CM	0.0010601310572530742
BN	0.0009770643735499125
KY	0.0009540731550980557
NQ	0.0009140672038066899
UY	0.0008956847928378239
WY	0.0008807070118325006
CQ	0.0008378770134730312
BH	0.000827559603372234
BD	0.0007972495367763694
UV	0.000779391047674889
VY	0.0007716513937293852
DJ	0.000740650342797972
CD	0.0007217261737274972
NZ	0.0006870100130308894
FM	0.0006843791253742546
DT	0.0006368658707668313
HX	0.00063522138613723
YZ	0.0006335427216787231
TZ	0.0006205225293481778
UZ	0.0006173527449314366
BV	0.0005974927393662395
IJ	0.0005885652676617408
HK	0.000519498519018424
DF	0.0004974440800646093
KW	0.0004931221449687291
DP	0.00044538862634012615
GK	0.00042896727968684604
XY	0.00041415104862170684
NX	0.00040690963452174353
BC	0.00038275174313962023
CP	0.00037840885181567545
FH	0.00036866628037295095
AQ	0.00036417320364597505
CF	0.0003015385189903523
VX	0.00029920993664373316
PW	0.00029648027612507117
KM	0.0002931722043129014
FX	0.00028659948195000303
BP	0.0002819781729372846
FW	0.0002790323221717852
SV	0.00027626361592708674
FG	0.00026073804698749733
FK	0.00025893694297792765
FP	0.0002548003484488464
LZ	0.00025447424712362547
MW	0.0002543284749761318
KP	0.0002349001871079905
KT	0.00022747487658345534
TV	0.00021008865432178877
